instance,objective_value,status,solve_time,build_time,load_time,total_time,gap,error,file_path,time_periods,n_thermal_gens,n_renewable_gens,n_must_run,total_startup_categories,total_pwl_points,approx_binary_vars,approx_continuous_vars,approx_total_vars,approx_constraints,peak_demand,avg_demand,total_reserves
2014-12-01_reserves_0.json,39233.72979071436,optimal,115.47570848464966,7.303938388824463,0.006217479705810547,122.78586435317993,0.0,,./ca/2014-12-01_reserves_0.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30479.15,25301.88,0.0
Scenario400_reserves_0.json,33534.43452543557,optimal,129.91530013084412,9.463177680969238,0.004193544387817383,139.38267135620117,0.0,,./ca/Scenario400_reserves_0.json,48,610,1,200,1220,1488,146400,159312,305712,355726,44214.67,34800.45,0.0
2015-06-01_reserves_1.json,41717.254946708024,optimal,145.46893334388733,9.198777198791504,0.006551980972290039,154.67426252365112,0.0,,./ca/2015-06-01_reserves_1.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30020.08,26541.78,12740.06
2020-01-27.json,1235239.4440498624,optimal,57.11077833175659,1.0633230209350586,0.002810955047607422,58.17691230773926,0.0,,./rts_gmlc/2020-01-27.json,48,73,81,1,117,292,16128,28416,44544,41263,4502.07,3815.48,5494.29
2020-02-09.json,2180618.3952325317,optimal,50.73250913619995,0.7171149253845215,0.0017249584197998047,51.45134902000427,0.0,,./rts_gmlc/2020-02-09.json,48,73,81,1,117,292,16128,28416,44544,41263,4504.42,3595.41,5177.39
2014-12-01_reserves_1.json,39265.032870112016,optimal,178.40560102462769,9.923112630844116,0.004022121429443359,188.33273577690125,0.0,,./ca/2014-12-01_reserves_1.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30479.15,25301.88,12144.9
2020-06-09.json,3744389.905553374,optimal,9.978287935256958,4.866195201873779,0.0017037391662597656,14.846186876296997,0.0,,./rts_gmlc/2020-06-09.json,48,73,81,1,117,292,16128,28416,44544,41263,6575.0,4989.55,7184.95
2020-03-05.json,2513633.783953359,optimal,52.04411220550537,0.8180761337280273,0.0016388893127441406,52.86382722854614,0.0,,./rts_gmlc/2020-03-05.json,48,73,81,1,117,292,16128,28416,44544,41263,4328.01,3688.14,5310.92
2020-08-12.json,5070073.418109813,optimal,9.819784164428711,1.789778232574463,0.0017788410186767578,11.61134123802185,0.0,,./rts_gmlc/2020-08-12.json,48,73,81,1,117,292,16128,28416,44544,41263,8017.52,5938.12,8550.9
2015-03-01_reserves_1.json,31808.79700674611,optimal,192.98299622535706,9.058408260345459,0.0040318965911865234,202.0454363822937,0.0,,./ca/2015-03-01_reserves_1.json,48,610,0,200,1220,1488,146400,159264,305664,355726,26622.95,21657.83,10395.76
